ID,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,tanimp,relimp,resimp,asrimp,empimp,oq,rec,use,prob,resolve,sex,mstat,age,inc,ed,reliavrg,empavrg,tangavrg,respavrg,assuravg
118,Neither Agree Nor Disagree,Agree Slightly,Agree Slightly,Agree Slightly,Neither Agree Nor Disagree,Agree Slightly,Neither Agree Nor Disagree,Agree,Agree Slightly,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Agree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Agree,Agree Slightly,Agree Slightly,Agree Slightly,Agree,Agree,10,30,25,25,10,8,Yes,5 or more years,No,NA,Male,Married,25-44,$50K-$64.9,College Graduate,4.6,4.8,4.5,4.75,5.5
119,Strongly Agree,Strongly Agree,NA,NA,NA,Strongly Agree,Disagree,Agree,Agree,NA,NA,NA,Agree,NA,NA,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,5,20,25,30,20,9,Yes,2 to 5 years,NA,NA,Male,Married,25-44,$10K-$19.9 K,College Graduate,7,5.25,6,6.666666667,6.25
120,Agree Slightly,Agree Slightly,Agree Slightly,Agree,Agree Slightly,Agree,Disagree Slightly,Strongly Agree,Agree Slightly,Agree Slightly,Agree,Neither Agree Nor Disagree,Agree,Agree,Agree Slightly,Agree Slightly,Agree,Agree,Agree Slightly,Agree Slightly,Agree,Agree Slightly,10,50,15,20,5,7,Yes,5 or more years,No,NA,Male,Married,25-44,$30K-$49.9K,High School or Less,5.2,5.2,5.5,5.5,5.25
121,Agree,Agree,Neither Agree Nor Disagree,Agree,Agree Slightly,Agree,Agree Slightly,Agree,Agree Slightly,Agree,Agree,Agree,Agree Slightly,Agree Slightly,Agree,Agree,Agree Slightly,Agree Slightly,Agree Slightly,Agree Slightly,Agree Slightly,Agree,10,30,20,20,20,8,Yes,5 or more years,Yes,Yes,Male,Married,25-44,$30K-$49.9K,High School or Less,5.4,5.6,5.5,5.5,5.25
122,NA,NA,NA,NA,NA,NA,NA,Strongly Agree,NA,Strongly Agree,NA,NA,Strongly Agree,Agree Slightly,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,5,50,15,15,15,10,Yes,2 to 5 years,No,NA,Male,Married,25-44,NA,High School or Less,NA,7,6,7,7
123,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,10,35,20,15,20,9,Yes,Less than 1 year,No,NA,Male,Married,25-44,$30K-$49.9K,Some College,6,6.6,6.25,6,6
124,Agree Slightly,Agree Slightly,Agree Slightly,Agree Slightly,Strongly Agree,Strongly Agree,Agree Slightly,Strongly Agree,Strongly Agree,Agree,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,40,20,10,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.4,6.4,NA,NA,NA
125,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,10,20,20,30,20,10,Yes,Less than 1 year,No,NA,Female,Divorced,65+,$10K-$19.9 K,College Graduate,7,6.8,7,7,7
126,Agree Slightly,Agree Slightly,Agree Slightly,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neither Agree Nor Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,10,30,30,20,10,10,Yes,Less than 1 year,No,NA,Male,Married,25-44,$20K - $29.9 K,High School or Less,5.4,7,5.75,6,6.75
127,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree Slightly,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree Slightly,Agree Slightly,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,5,30,20,25,20,10,Yes,Less than 1 year,No,NA,Female,Married,25-44,$30K-$49.9K,Some College,6.4,7,5.5,7,6.75
128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,NA,NA,NA,NA,NA,10,Yes,5 or more years,No,NA,Male,Divorced,65+,$10K-$19.9 K,Some College,NA,NA,7,7,7
129,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,20,20,20,20,20,10,Yes,5 or more years,No,NA,Female,Married,25-44,$20K - $29.9 K,NA,7,7,7,7,7
130,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,NA,NA,NA,NA,NA,10,Yes,5 or more years,No,NA,Female,Widowed,45-64,< $10K,High School or Less,7,7,7,7,7
131,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Agree,Agree Slightly,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,10,20,20,30,20,9,Yes,5 or more years,No,NA,Male,Married,25-44,$20K - $29.9 K,High School or Less,7,7,4.75,6,6.5
132,Disagree Slightly,Agree Slightly,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Agree Slightly,Agree Slightly,Strongly Agree,Agree Slightly,Agree Slightly,Agree Slightly,Agree,Agree,Strongly Agree,Strongly Agree,Disagree Slightly,Disagree Slightly,Agree Slightly,Disagree Slightly,Agree Slightly,Agree Slightly,Disagree,Agree,15,25,20,20,20,6,Yes,5 or more years,Yes,Yes,Female,Widowed,45-64,$20K - $29.9 K,High School or Less,4.2,5.4,6.5,3.5,4.5
133,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree Slightly,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,10,25,25,25,15,10,Yes,5 or more years,No,NA,Female,Married,25-44,$30K-$49.9K,High School or Less,7,7,6.5,6.75,7
134,Agree Slightly,Agree Slightly,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Agree Slightly,Neither Agree Nor Disagree,Agree Slightly,Agree Slightly,Agree Slightly,Agree,Agree,Agree Slightly,Agree Slightly,Neither Agree Nor Disagree,Agree Slightly,Agree Slightly,Agree Slightly,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Agree Slightly,Neither Agree Nor Disagree,10,25,25,25,15,7,No,5 or more years,Yes,No,Female,Married,25-44,>$65K,Some College,4.4,4.8,5.5,4.75,4.25
135,Strongly Agree,Strongly Agree,Neither Agree Nor Disagree,Strongly Agree,Neither Agree Nor Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,5,40,35,10,10,8,Yes,5 or more years,No,NA,Female,Married,25-44,$30K-$49.9K,High School or Less,5.8,6,6,6.5,6.5
136,Agree,Agree Slightly,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Disagree,Agree Slightly,Neither Agree Nor Disagree,Agree Slightly,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Strongly Agree,Strongly Agree,Agree Slightly,Strongly Agree,Agree Slightly,Agree Slightly,Agree,Agree,Neither Agree Nor Disagree,Agree Slightly,Agree,Agree,NA,NA,NA,NA,NA,8,Yes,5 or more years,No,NA,Female,Married,25-44,>$65K,Graduate School,4.2,4.4,6.5,5.5,5.25
137,Neither Agree Nor Disagree,Agree,Agree,Agree,Agree,Agree Slightly,Agree Slightly,Agree,Agree,Strongly Agree,Agree,Agree Slightly,Agree,Agree,Agree,Agree,Agree,Neither Agree Nor Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,20,20,20,20,20,9,Yes,Less than 1 year,Yes,NA,Male,Married,25-44,$10K-$19.9 K,High School or Less,5.6,5.8,5.75,5.5,6.75
138,Agree,Strongly Agree,Agree Slightly,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,20,20,20,20,20,9,Yes,1 to 2 years,No,NA,Female,Married,25-44,$30K-$49.9K,High School or Less,6,6.6,6.75,6.75,7
139,Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,15,25,20,20,20,9,Yes,1 to 2 years,No,NA,Male,Married,25-44,$30K-$49.9K,High School or Less,6.2,6.8,6.5,6.75,6.75
140,Neither Agree Nor Disagree,Strongly Agree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Strongly Agree,Neither Agree Nor Disagree,Strongly Agree,Agree Slightly,Agree Slightly,Agree Slightly,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,25,25,15,20,6,Yes,5 or more years,Yes,No,Female,Married,25-44,$30K-$49.9K,Some College,4.6,5.4,5,NA,NA
141,Agree,Agree,Agree Slightly,Agree Slightly,Agree Slightly,Agree Slightly,Agree,Agree Slightly,Agree Slightly,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neither Agree Nor Disagree,Agree Slightly,Agree,Agree,Agree,Agree,Agree,Agree,10,30,20,20,20,8,Yes,5 or more years,Yes,Yes,Male,Married,25-44,$50K-$64.9,Some College,5.4,5.4,1,5.25,6
142,Agree,Strongly Agree,Agree Slightly,Agree,Strongly Agree,Agree,Agree Slightly,Strongly Agree,Agree,Agree,NA,NA,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Agree,5,50,10,10,25,9,Yes,5 or more years,No,NA,Male,Married,25-44,$20K - $29.9 K,College Graduate,6.2,6,6.5,6.25,6.25
143,Neither Agree Nor Disagree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,10,20,30,10,30,10,Yes,5 or more years,No,NA,Female,Married,25-44,$50K-$64.9,High School or Less,5.6,7,4.5,7,7
144,Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,5,25,25,20,25,9,Yes,5 or more years,No,NA,Male,Married,25-44,$30K-$49.9K,High School or Less,6.2,6.6,7,7,7
145,Neither Agree Nor Disagree,Agree Slightly,Agree Slightly,Neither Agree Nor Disagree,Agree Slightly,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree Slightly,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree Slightly,15,20,15,35,15,9,Yes,2 to 5 years,No,NA,Female,Divorced,65+,< $10K,Some College,4.6,6.2,6.5,6.25,5.75
146,Agree Slightly,Agree Slightly,Agree Slightly,Agree Slightly,Agree,Agree,Agree Slightly,Agree,Agree,Agree,Agree Slightly,Agree Slightly,Agree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Agree Slightly,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree Slightly,10,20,25,35,10,8,Yes,5 or more years,No,NA,Male,Married,25-44,$30K-$49.9K,Some College,5.2,5.8,5,5.25,6.25
147,Neither Agree Nor Disagree,Disagree Slightly,NA,NA,NA,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Disagree Slightly,Disagree,Disagree Slightly,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,25,30,20,15,NA,NA,NA,NA,NA,Male,Married,25-44,$30K-$49.9K,Graduate School,3.5,3.2,NA,NA,NA
148,Disagree,Neither Agree Nor Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree Slightly,Strongly Disagree,Strongly Disagree,NA,NA,Neither Agree Nor Disagree,Strongly Disagree,Agree Slightly,NA,NA,Strongly Disagree,Strongly Disagree,NA,Strongly Agree,Strongly Agree,Strongly Agree,Agree Slightly,NA,NA,NA,NA,NA,3,Yes,5 or more years,Yes,No,Female,Single,< 25,$20K - $29.9 K,High School or Less,5.4,1.666666667,3.333333333,1,6.5
149,Agree Slightly,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,15,27,28,15,15,6,Yes,5 or more years,No,NA,Female,Divorced,65+,$30K-$49.9K,College Graduate,4.2,4,4,4,4
150,Agree,Agree,Agree Slightly,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree Slightly,Agree Slightly,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree Slightly,Agree,Agree,Strongly Agree,Strongly Agree,15,25,25,15,20,9,Yes,5 or more years,Yes,Yes,Female,Married,25-44,$30K-$49.9K,College Graduate,5.8,6.2,7,6,6.5
151,Agree,Agree Slightly,Agree,Agree,Agree Slightly,Strongly Agree,Agree,Strongly Agree,Agree Slightly,NA,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Agree,Agree Slightly,Agree,Agree Slightly,Agree Slightly,Agree Slightly,Agree Slightly,Agree Slightly,Strongly Agree,Agree Slightly,5,30,15,40,10,7,Yes,Less than 1 year,Yes,NA,Male,Married,25-44,>$65K,College Graduate,5.6,6.25,4.75,5.25,5.5
152,Agree Slightly,Strongly Agree,Strongly Agree,Agree Slightly,NA,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,NA,NA,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,NA,NA,NA,NA,NA,10,Yes,5 or more years,No,NA,Female,Married,25-44,>$65K,Some College,6,6.8,6.5,6.5,6.75
153,Neither Agree Nor Disagree,Strongly Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Disagree,Disagree,Strongly Disagree,Disagree Slightly,Strongly Disagree,Disagree Slightly,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Agree Slightly,Neither Agree Nor Disagree,Strongly Disagree,Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Disagree,Disagree Slightly,Agree Slightly,Neither Agree Nor Disagree,15,20,30,15,20,2,No,5 or more years,Yes,No,Male,Married,25-44,$50K-$64.9,Graduate School,3,2,4.25,2.75,3.5
154,Disagree Slightly,Disagree Slightly,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree Slightly,Disagree,Disagree Slightly,Disagree,Agree Slightly,Agree Slightly,Disagree Slightly,Neither Agree Nor Disagree,Disagree Slightly,Disagree,Neither Agree Nor Disagree,Disagree,Strongly Disagree,Neither Agree Nor Disagree,Disagree,Disagree,10,50,20,10,10,3,No,1 to 2 years,Yes,Yes,Male,Married,25-44,>$65K,Graduate School,1.8,2.6,4.25,2.75,2.25
155,Agree,Strongly Agree,Agree Slightly,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,10,20,40,20,10,10,Yes,5 or more years,Yes,Yes,Male,Married,25-44,$50K-$64.9,High School or Less,6.4,7,7,7,7
156,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree Slightly,Agree,Agree,Agree,Agree,Agree Slightly,Agree,Agree,Agree Slightly,Agree Slightly,20,20,20,20,20,9,Yes,5 or more years,No,NA,Female,Married,25-44,$50K-$64.9,High School or Less,6,6,5.75,5.75,5.5
157,Neither Agree Nor Disagree,Strongly Disagree,Strongly Disagree,Neither Agree Nor Disagree,Strongly Agree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Strongly Agree,Neither Agree Nor Disagree,NA,NA,Agree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Agree,Strongly Agree,Strongly Agree,10,50,20,10,10,5,Yes,Less than 1 year,Yes,Yes,Male,Married,25-44,>$65K,Graduate School,3.4,4.6,5,4,6
158,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,20,20,20,20,20,10,Yes,5 or more years,No,NA,Male,Married,25-44,$20K - $29.9 K,High School or Less,7,7,7,7,7
159,Agree Slightly,Neither Agree Nor Disagree,Agree,Agree,Disagree Slightly,Strongly Disagree,Neither Agree Nor Disagree,Strongly Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Agree Slightly,Agree Slightly,Strongly Agree,Agree Slightly,Agree,Agree,Neither Agree Nor Disagree,Agree Slightly,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Strongly Agree,Agree,5,50,10,15,20,6,Yes,Less than 1 year,No,NA,Male,Single,< 25,$30K-$49.9K,College Graduate,4.8,2.8,5.5,5.25,5.25
160,Strongly Agree,NA,NA,Strongly Agree,NA,Strongly Agree,NA,Strongly Agree,Agree Slightly,Strongly Agree,Agree Slightly,Agree,Agree,NA,Strongly Agree,Strongly Agree,Strongly Agree,Agree Slightly,Agree,Agree,Strongly Agree,Agree,10,20,20,20,30,9,Yes,2 to 5 years,No,NA,Female,Divorced,65+,$30K-$49.9K,Some College,7,6.5,5.666666667,6.5,6.25
161,Agree Slightly,Agree,Neither Agree Nor Disagree,Agree Slightly,Agree Slightly,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree Slightly,Neither Agree Nor Disagree,Disagree Slightly,Strongly Agree,Agree Slightly,Agree Slightly,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,0,30,30,30,10,8,Yes,5 or more years,Yes,Yes,Male,Married,25-44,$50K-$64.9,Some College,5,6.4,4.75,6.5,7
162,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Less than 1 year,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
163,Agree,Agree,Agree,Agree,Agree Slightly,Agree,Neither Agree Nor Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree Slightly,10,30,30,15,15,8,Yes,5 or more years,Yes,NA,Male,Married,25-44,$30K-$49.9K,High School or Less,5.8,5.6,6,6,5.75
164,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Neither Agree Nor Disagree,Strongly Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Strongly Agree,Neither Agree Nor Disagree,Agree Slightly,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,10,50,25,10,5,10,Yes,5 or more years,No,NA,Male,Married,25-44,$30K-$49.9K,High School or Less,6.6,4,4.75,6.25,6.75
165,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Neither Agree Nor Disagree,Strongly Agree,Neither Agree Nor Disagree,Strongly Agree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,NA,NA,NA,NA,Strongly Agree,Strongly Agree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Agree,Neither Agree Nor Disagree,0,25,25,25,25,8,Yes,5 or more years,No,NA,Female,Married,25-44,$50K-$64.9,Some College,6.2,5.2,NA,5.5,4.5
166,Neither Agree Nor Disagree,Strongly Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Strongly Disagree,Neither Agree Nor Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,5,60,10,5,20,5,No,Less than 1 year,Yes,No,Male,Married,25-44,$50K-$64.9,Some College,3.4,1.6,4,4,4
167,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree Slightly,Agree Slightly,Agree,Agree Slightly,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,0,25,25,25,25,10,Yes,5 or more years,No,NA,Male,Married,25-44,$50K-$64.9,High School or Less,7,7,5.25,7,7
168,Agree,Agree,Strongly Agree,Strongly Agree,NA,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,NA,Strongly Agree,Neither Agree Nor Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,NA,NA,NA,NA,NA,10,Yes,Less than 1 year,No,NA,Female,Married,25-44,$50K-$64.9,Some College,6.5,6.6,5.666666667,6.75,7
169,Disagree,Neither Agree Nor Disagree,Disagree,Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Agree Slightly,Neither Agree Nor Disagree,Disagree Slightly,Disagree Slightly,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Agree,Agree Slightly,Disagree Slightly,Disagree,Agree Slightly,Agree Slightly,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Agree,Agree,5,50,30,10,5,5,NA,5 or more years,No,NA,Female,Married,25-44,>$65K,Graduate School,2.8,3.8,4.75,3.75,5
170,Agree,Agree Slightly,Agree Slightly,Agree,Agree Slightly,Agree,Agree,Agree,Agree Slightly,Agree Slightly,Agree Slightly,Agree Slightly,Agree,Agree,Agree Slightly,Agree Slightly,Agree Slightly,Agree Slightly,Agree,Agree,Agree,Agree,0,25,25,25,25,9,Yes,2 to 5 years,No,NA,Female,Married,25-44,>$65K,High School or Less,5.4,5.6,5.5,5,6
171,Strongly Disagree,Neither Agree Nor Disagree,Disagree,Strongly Disagree,Disagree,Neither Agree Nor Disagree,Agree Slightly,Strongly Agree,Neither Agree Nor Disagree,Agree Slightly,Strongly Agree,Agree,Strongly Agree,Agree Slightly,Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Disagree Slightly,Neither Agree Nor Disagree,Agree Slightly,Disagree,0,25,25,25,25,5,Yes,Less than 1 year,Yes,No,Male,Married,25-44,>$65K,High School or Less,2,5,6.25,3.5,3.5
172,Disagree Slightly,Neither Agree Nor Disagree,Disagree,Disagree Slightly,Neither Agree Nor Disagree,Agree Slightly,Agree Slightly,Agree Slightly,Disagree Slightly,Disagree Slightly,Agree,Agree Slightly,Agree Slightly,Agree Slightly,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Agree Slightly,Agree Slightly,NA,0,40,30,15,15,5,Yes,2 to 5 years,No,NA,Female,Married,25-44,$30K-$49.9K,Some College,3.2,4.2,5.25,4,4.666666667
173,Strongly Agree,Agree,Neither Agree Nor Disagree,Strongly Agree,Agree Slightly,Strongly Agree,Strongly Agree,Strongly Agree,Neither Agree Nor Disagree,Agree Slightly,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Agree Slightly,Neither Agree Nor Disagree,Agree Slightly,Strongly Agree,Strongly Agree,Agree Slightly,Disagree Slightly,Agree Slightly,Agree,Agree Slightly,5,40,30,15,10,7,Yes,2 to 5 years,No,NA,Male,Single,< 25,$20K - $29.9 K,College Graduate,5.8,6,4.25,6,4.75
174,Agree,Agree,Agree,Agree,NA,Agree Slightly,Agree Slightly,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Agree Slightly,Agree Slightly,Agree Slightly,Neither Agree Nor Disagree,Agree Slightly,Agree Slightly,Agree Slightly,Neither Agree Nor Disagree,Agree Slightly,Agree Slightly,Neither Agree Nor Disagree,Neither Agree Nor Disagree,NA,NA,NA,NA,NA,8,Yes,5 or more years,No,NA,Male,Divorced,65+,$30K-$49.9K,High School or Less,6,4.4,4.75,4.75,4.5
175,Agree Slightly,Strongly Agree,Agree,Agree Slightly,Agree Slightly,Strongly Agree,Agree Slightly,Agree,Agree Slightly,Agree,Neither Agree Nor Disagree,Agree Slightly,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,45,20,20,10,NA,NA,NA,NA,NA,Male,Married,25-44,$30K-$49.9K,High School or Less,5.6,5.8,4.5,NA,NA
